,steps,episodes,loss,averageReturn
382,4209,3830,0.0007661060662940145,-4.0
383,4219,3840,-0.00041584353311918676,0.0
384,4230,3850,0.5227688550949097,3.0
385,4240,3860,-0.00020324034267105162,-2.0
386,4250,3870,0.001640005619265139,-8.0
387,4260,3880,-8.725405496079475e-05,0.0
388,4270,3890,0.002974022878333926,-2.0
389,4280,3900,0.0040879687294363976,0.0
390,4290,3910,0.0016099729109555483,-6.0
391,4300,3920,0.006200144998729229,0.0
392,4310,3930,-0.00010161418322240934,2.0
393,4320,3940,0.007511907257139683,-2.0
394,4330,3950,0.004335538484156132,-4.0
395,4340,3960,0.00031188459252007306,6.0
396,4350,3970,-6.562510679941624e-05,-2.0
397,4360,3980,0.0007230889168567955,0.0
398,4370,3990,0.004920034669339657,0.0
399,4380,4000,0.0005667554214596748,-2.0
400,4390,4010,-0.0006688052089884877,-6.0
401,4400,4020,-0.0006307169678620994,-8.0
402,4410,4030,0.0025818219874054193,2.0
403,4420,4040,0.005279109347611666,2.0
404,4430,4050,0.002305974019691348,-4.0
405,4441,4060,1.0104825496673584,-5.0
406,4452,4070,-1.2368910312652588,-1.0
407,4462,4080,0.0021342088002711535,4.0
408,4472,4090,-0.00010907687101280317,-4.0
409,4482,4100,0.00017192601808346808,2.0
410,4492,4110,-0.0007939114002510905,-2.0
411,4502,4120,0.006586974952369928,0.0
412,4512,4130,0.0004046621615998447,-4.0
413,4522,4140,0.004620638210326433,-4.0
414,4532,4150,0.002211993094533682,-6.0
415,4542,4160,0.0006619244813919067,4.0
416,4552,4170,-0.0007324147736653686,-4.0
417,4562,4180,0.00028903497150167823,0.0
418,4572,4190,-0.0001938512723427266,-4.0
419,4582,4200,0.00039396286592818797,4.0
420,4592,4210,-3.794487611230579e-06,-4.0
421,4602,4220,-0.00038293612306006253,-4.0
422,4612,4230,0.004581322893500328,2.0
423,4622,4240,0.0005768797127529979,-2.0
424,4632,4250,0.007237916346639395,-6.0
425,4642,4260,0.0038601066917181015,-6.0
426,4652,4270,0.0017346296226605773,-6.0
427,4662,4280,0.0005071136984042823,-2.0
428,4672,4290,-0.0007221590494737029,-2.0
429,4682,4300,0.0003406318719498813,0.0
430,4692,4310,0.0011921041877940297,6.0
431,4702,4320,0.0008965362794697285,0.0
432,4712,4330,-0.0015585325891152024,-6.0
433,4722,4340,-5.564426464843564e-05,-4.0
434,4732,4350,0.0006505589699372649,-2.0
435,4742,4360,0.000272871257038787,-8.0
436,4752,4370,0.0006429565255530179,0.0
437,4762,4380,0.0008358113700523973,-6.0
438,4772,4390,0.00012048058852087706,-2.0
439,4782,4400,-3.0761722882743925e-05,-4.0
440,4792,4410,0.001167417736724019,2.0
441,4802,4420,0.0010555317858234048,0.0
442,4812,4430,-1.2453334420570172e-05,-4.0
443,4822,4440,0.0007984212716110051,-2.0
444,4832,4450,-0.00017280166503041983,-4.0
445,4842,4460,0.00039466292946599424,-2.0
446,4852,4470,0.0003979348693974316,-4.0
447,4862,4480,0.0004974351031705737,0.0
448,4872,4490,0.001935123116709292,2.0
449,4882,4500,-0.00020812870934605598,4.0
450,4892,4510,0.0008660644525662065,-4.0
451,4902,4520,-0.0006654115859419107,-8.0
452,4912,4530,0.0006013608071953058,-2.0
453,4922,4540,0.0013156009372323751,0.0
454,4932,4550,-0.0013501816429197788,-8.0
455,4942,4560,0.0004287386254873127,-4.0
456,4952,4570,0.001916717505082488,0.0
457,4962,4580,0.001907001482322812,0.0
458,4972,4590,0.0011988773476332426,2.0
459,4982,4600,-0.00044204649748280644,-4.0
460,4992,4610,0.0002751778229139745,0.0
461,5002,4620,0.0028808112256228924,-4.0
462,5012,4630,0.0005624883924610913,0.0
463,5022,4640,0.00028710594051517546,-4.0
464,5032,4650,0.002106717322021723,-2.0
465,5042,4660,0.00032812744029797614,2.0
466,5052,4670,0.0003043648903258145,-8.0
467,5062,4680,0.00013185855641495436,-2.0
468,5072,4690,0.0028761583380401134,-4.0
469,5082,4700,0.0005898757372051477,-2.0
470,5092,4710,-0.00017299769388046116,-6.0
471,5102,4720,-0.0011371650034561753,2.0
472,5112,4730,0.0001594902714714408,8.0
473,5122,4740,0.00102213304489851,-2.0
474,5132,4750,0.0042381808161735535,-6.0
475,5142,4760,0.004211788065731525,-2.0
476,5152,4770,-6.60927253193222e-05,4.0
477,5162,4780,0.0012074497062712908,-2.0
478,5173,4790,-0.03146771341562271,1.0
479,5183,4800,0.0012525580823421478,0.0
480,5193,4810,-7.335352620430058e-06,-2.0
481,5203,4820,0.0011672788532450795,4.0
482,5213,4830,0.0032404749654233456,0.0
483,5223,4840,0.01106930896639824,-6.0
484,5233,4850,0.000901791441719979,0.0
485,5243,4860,-4.798419467988424e-05,0.0
486,5253,4870,-0.0004778041038662195,4.0
487,5263,4880,2.8224021662026644e-05,0.0
488,5273,4890,0.00033747797715477645,0.0
489,5283,4900,0.0006846056203357875,4.0
490,5293,4910,0.0006255594780668616,0.0
491,5303,4920,0.0010626768926158547,-4.0
492,5313,4930,0.0008625200134702027,0.0
493,5323,4940,0.0005540467100217938,0.0
494,5333,4950,0.0003841542929876596,-8.0
495,5343,4960,0.005510909482836723,-2.0
496,5353,4970,0.001382092828862369,2.0
497,5363,4980,0.00014535181981045753,-4.0
498,5373,4990,0.0007378883892670274,2.0
499,5383,5000,0.00018513733812142164,-4.0
