,trial_name,epochs,learning_rate,dropout_val,l2_val,layer_size,training_loss,training_mae,training_mse,validation_loss,validation_mae,validation_mse,test_loss,test_mae,test_mse
68,Ep50_Lr01_Do5_L20001_Ls87,50,0.01,0.5,0.0001,87,0.018465617671608925,0.0902860164642334,0.01739325188100338,0.016596447676420212,0.08366000652313232,0.015549574978649616,0.016744811087846756,0.08398418873548508,0.015697939321398735
69,Ep50_Lr01_Do5_L21e-05_Ls29,50,0.01,0.5,1e-05,29,0.017383763566613197,0.08883892744779587,0.01696634478867054,0.015125994570553303,0.08406250923871994,0.014711691997945309,0.015216738916933537,0.08413032442331314,0.014802433550357819
70,Ep50_Lr01_Do5_L21e-05_Ls58,50,0.01,0.5,1e-05,58,0.016839757561683655,0.08721723407506943,0.016305118799209595,0.014567414298653603,0.07631341367959976,0.014031969010829926,0.014596514403820038,0.07633189111948013,0.014061064459383488
71,Ep50_Lr01_Do5_L21e-05_Ls87,50,0.01,0.5,1e-05,87,0.016779305413365364,0.08618263900279999,0.016141558066010475,0.014734734781086445,0.07954429090023041,0.014097603969275951,0.014700580388307571,0.07947224378585815,0.0140634560957551
72,Ep50_Lr005_Do2_L2001_Ls29,50,0.005,0.2,0.001,29,0.01201678067445755,0.06657899171113968,0.010327798314392567,0.008413637988269329,0.05015316233038902,0.006759440992027521,0.00852139387279749,0.05016186088323593,0.006867197807878256
73,Ep50_Lr005_Do2_L2001_Ls58,50,0.005,0.2,0.001,58,0.012091884389519691,0.0659598857164383,0.010339322499930859,0.006749230902642012,0.04867328330874443,0.005012391600757837,0.006722903810441494,0.048724640160799026,0.00498606264591217
74,Ep50_Lr005_Do2_L2001_Ls87,50,0.005,0.2,0.001,87,0.012063892558217049,0.06636525690555573,0.010287134908139706,0.007182737346738577,0.04804006218910217,0.0053676278330385685,0.007165260147303343,0.04801385849714279,0.005350152030587196
75,Ep50_Lr005_Do2_L20001_Ls29,50,0.005,0.2,0.0001,29,0.009843237698078156,0.060451727360486984,0.008861525915563107,0.006978295743465424,0.048796966671943665,0.005985034629702568,0.007036158349364996,0.04873901978135109,0.006042896304279566
76,Ep50_Lr005_Do2_L20001_Ls58,50,0.005,0.2,0.0001,58,0.009671533480286598,0.058874666690826416,0.008592558093369007,0.006602682173252106,0.04473543167114258,0.0055291252210736275,0.006627087481319904,0.04466091841459274,0.005553532391786575
77,Ep50_Lr005_Do2_L20001_Ls87,50,0.005,0.2,0.0001,87,0.009785465896129608,0.05811377242207527,0.008624473586678505,0.006809790153056383,0.04633572697639465,0.005671958439052105,0.006780760828405619,0.0458851233124733,0.00564293097704649
78,Ep50_Lr005_Do2_L21e-05_Ls29,50,0.005,0.2,1e-05,29,0.00856754556298256,0.05668915808200836,0.00806551892310381,0.005899121984839439,0.04769739508628845,0.005397433880716562,0.0058101871982216835,0.047169506549835205,0.005308498162776232
79,Ep50_Lr005_Do2_L21e-05_Ls58,50,0.005,0.2,1e-05,58,0.008401209488511086,0.05500153452157974,0.007800904102623463,0.005780686624348164,0.0450272336602211,0.005180865526199341,0.00586320785805583,0.04481304809451103,0.00526338629424572
80,Ep50_Lr005_Do2_L21e-05_Ls87,50,0.005,0.2,1e-05,87,0.008016100153326988,0.05352785810828209,0.0073263635858893394,0.005131619516760111,0.04494728147983551,0.004441870376467705,0.0050603668205440044,0.04423005133867264,0.004370618611574173
81,Ep50_Lr005_Do3_L2001_Ls29,50,0.005,0.3,0.001,29,0.015447578392922878,0.07873556017875671,0.013841724023222923,0.009327387437224388,0.05639459192752838,0.00772017240524292,0.009335735812783241,0.05661933124065399,0.0077285161241889
82,Ep50_Lr005_Do3_L2001_Ls58,50,0.005,0.3,0.001,58,0.015042928978800774,0.0765778124332428,0.013244753703474998,0.00995571818202734,0.05656004324555397,0.008145934902131557,0.009950695559382439,0.05632610246539116,0.008140908554196358
83,Ep50_Lr005_Do3_L2001_Ls87,50,0.005,0.3,0.001,87,0.015293487347662449,0.07777827978134155,0.013622238300740719,0.011018864810466766,0.06247393414378166,0.009353350847959518,0.01118051540106535,0.06251408904790878,0.009515000507235527
84,Ep50_Lr005_Do3_L20001_Ls29,50,0.005,0.3,0.0001,29,0.012893728911876678,0.07189296185970306,0.011929867789149284,0.00972985289990902,0.0588076114654541,0.008763067424297333,0.009851480834186077,0.05908549949526787,0.008884698152542114
85,Ep50_Lr005_Do3_L20001_Ls58,50,0.005,0.3,0.0001,58,0.012622159905731678,0.06908061355352402,0.01142034213989973,0.007792881224304438,0.05613819882273674,0.006586009636521339,0.007912593893706799,0.05622028931975365,0.006705721840262413
